prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q1-N-S,Q1,soil_health,N,S,229,,,,,
Q1-N-M,Q1,soil_health,N,M,298,,,,,
Q1-N-L,Q1,soil_health,N,L,266,,,,,
Q1-NOV-S,Q1,soil_health,NOV,S,246,,,,,
Q1-NOV-M,Q1,soil_health,NOV,M,319,,,,,
Q1-NOV-L,Q1,soil_health,NOV,L,431,,,,,
Q1-MOD-S,Q1,soil_health,MOD,S,235,,,,,
Q1-MOD-M,Q1,soil_health,MOD,M,415,,,,,
Q1-MOD-L,Q1,soil_health,MOD,L,599,,,,,
Q1-EXP-S,Q1,soil_health,EXP,S,291,,,,,
Q1-EXP-M,Q1,soil_health,EXP,M,386,,,,,
Q1-EXP-L,Q1,soil_health,EXP,L,652,,,,,
Q1-PRO-S,Q1,soil_health,PRO,S,320,,,,,
Q1-PRO-M,Q1,soil_health,PRO,M,364,,,,,
Q1-PRO-L,Q1,soil_health,PRO,L,684,,,,,
Q2-N-S,Q2,fertilizer,N,S,159,,,,,
Q2-N-M,Q2,fertilizer,N,M,281,,,,,
Q2-N-L,Q2,fertilizer,N,L,504,,,,,
Q2-NOV-S,Q2,fertilizer,NOV,S,148,,,,,
Q2-NOV-M,Q2,fertilizer,NOV,M,296,,,,,
Q2-NOV-L,Q2,fertilizer,NOV,L,326,,,,,
Q2-MOD-S,Q2,fertilizer,MOD,S,199,,,,,
Q2-MOD-M,Q2,fertilizer,MOD,M,291,,,,,
Q2-MOD-L,Q2,fertilizer,MOD,L,364,,,,,
Q2-EXP-S,Q2,fertilizer,EXP,S,228,,,,,
Q2-EXP-M,Q2,fertilizer,EXP,M,426,,,,,
Q2-EXP-L,Q2,fertilizer,EXP,L,361,,,,,
Q2-PRO-S,Q2,fertilizer,PRO,S,252,,,,,
Q2-PRO-M,Q2,fertilizer,PRO,M,333,,,,,
Q2-PRO-L,Q2,fertilizer,PRO,L,468,,,,,
Q3-N-S,Q3,pest_control,N,S,264,,,,,
Q3-N-M,Q3,pest_control,N,M,289,,,,,
Q3-N-L,Q3,pest_control,N,L,519,,,,,
Q3-NOV-S,Q3,pest_control,NOV,S,270,,,,,
Q3-NOV-M,Q3,pest_control,NOV,M,291,,,,,
Q3-NOV-L,Q3,pest_control,NOV,L,410,,,,,
Q3-MOD-S,Q3,pest_control,MOD,S,276,,,,,
Q3-MOD-M,Q3,pest_control,MOD,M,316,,,,,
Q3-MOD-L,Q3,pest_control,MOD,L,621,,,,,
Q3-EXP-S,Q3,pest_control,EXP,S,408,,,,,
Q3-EXP-M,Q3,pest_control,EXP,M,314,,,,,
Q3-EXP-L,Q3,pest_control,EXP,L,411,,,,,
Q3-PRO-S,Q3,pest_control,PRO,S,310,,,,,
Q3-PRO-M,Q3,pest_control,PRO,M,367,,,,,
Q3-PRO-L,Q3,pest_control,PRO,L,592,,,,,
Q4-N-S,Q4,cover_crops,N,S,223,,,,,
Q4-N-M,Q4,cover_crops,N,M,295,,,,,
Q4-N-L,Q4,cover_crops,N,L,642,,,,,
Q4-NOV-S,Q4,cover_crops,NOV,S,294,,,,,
Q4-NOV-M,Q4,cover_crops,NOV,M,333,,,,,
Q4-NOV-L,Q4,cover_crops,NOV,L,421,,,,,
Q4-MOD-S,Q4,cover_crops,MOD,S,240,,,,,
Q4-MOD-M,Q4,cover_crops,MOD,M,256,,,,,
Q4-MOD-L,Q4,cover_crops,MOD,L,458,,,,,
Q4-EXP-S,Q4,cover_crops,EXP,S,414,,,,,
Q4-EXP-M,Q4,cover_crops,EXP,M,327,,,,,
Q4-EXP-L,Q4,cover_crops,EXP,L,523,,,,,
Q4-PRO-S,Q4,cover_crops,PRO,S,535,,,,,
Q4-PRO-M,Q4,cover_crops,PRO,M,337,,,,,
Q4-PRO-L,Q4,cover_crops,PRO,L,527,,,,,
Q5-N-S,Q5,composting,N,S,247,,,,,
Q5-N-M,Q5,composting,N,M,315,,,,,
Q5-N-L,Q5,composting,N,L,545,,,,,
Q5-NOV-S,Q5,composting,NOV,S,269,,,,,
Q5-NOV-M,Q5,composting,NOV,M,371,,,,,
Q5-NOV-L,Q5,composting,NOV,L,551,,,,,
Q5-MOD-S,Q5,composting,MOD,S,219,,,,,
Q5-MOD-M,Q5,composting,MOD,M,308,,,,,
Q5-MOD-L,Q5,composting,MOD,L,620,,,,,
Q5-EXP-S,Q5,composting,EXP,S,301,,,,,
Q5-EXP-M,Q5,composting,EXP,M,284,,,,,
Q5-EXP-L,Q5,composting,EXP,L,497,,,,,
Q5-PRO-S,Q5,composting,PRO,S,344,,,,,
Q5-PRO-M,Q5,composting,PRO,M,306,,,,,
Q5-PRO-L,Q5,composting,PRO,L,856,,,,,
Q6-N-S,Q6,water_conservation,N,S,131,,,,,
Q6-N-M,Q6,water_conservation,N,M,334,,,,,
Q6-N-L,Q6,water_conservation,N,L,519,,,,,
Q6-NOV-S,Q6,water_conservation,NOV,S,250,,,,,
Q6-NOV-M,Q6,water_conservation,NOV,M,340,,,,,
Q6-NOV-L,Q6,water_conservation,NOV,L,493,,,,,
Q6-MOD-S,Q6,water_conservation,MOD,S,189,,,,,
Q6-MOD-M,Q6,water_conservation,MOD,M,365,,,,,
Q6-MOD-L,Q6,water_conservation,MOD,L,588,,,,,
Q6-EXP-S,Q6,water_conservation,EXP,S,245,,,,,
Q6-EXP-M,Q6,water_conservation,EXP,M,365,,,,,
Q6-EXP-L,Q6,water_conservation,EXP,L,700,,,,,
Q6-PRO-S,Q6,water_conservation,PRO,S,280,,,,,
Q6-PRO-M,Q6,water_conservation,PRO,M,464,,,,,
Q6-PRO-L,Q6,water_conservation,PRO,L,654,,,,,
Q7-N-S,Q7,no_till,N,S,252,,,,,
Q7-N-M,Q7,no_till,N,M,401,,,,,
Q7-N-L,Q7,no_till,N,L,482,,,,,
Q7-NOV-S,Q7,no_till,NOV,S,338,,,,,
Q7-NOV-M,Q7,no_till,NOV,M,361,,,,,
Q7-NOV-L,Q7,no_till,NOV,L,485,,,,,
Q7-MOD-S,Q7,no_till,MOD,S,261,,,,,
Q7-MOD-M,Q7,no_till,MOD,M,363,,,,,
Q7-MOD-L,Q7,no_till,MOD,L,494,,,,,
Q7-EXP-S,Q7,no_till,EXP,S,275,,,,,
Q7-EXP-M,Q7,no_till,EXP,M,332,,,,,
Q7-EXP-L,Q7,no_till,EXP,L,519,,,,,
Q7-PRO-S,Q7,no_till,PRO,S,385,,,,,
Q7-PRO-M,Q7,no_till,PRO,M,332,,,,,
Q7-PRO-L,Q7,no_till,PRO,L,482,,,,,
